epoch;accuracy;loss;precision;root_mean_squared_error;val_accuracy;val_loss;val_precision;val_root_mean_squared_error
0;0.2167484164237976;0.03009996935725212;0.7821725606918335;0.173493430018425;0.27102017402648926;0.02914675697684288;0.8062015771865845;0.17072419822216034
1;0.3007007837295532;0.02764684520661831;0.8634517788887024;0.16627342998981476;0.24775785207748413;0.028716959059238434;0.818423867225647;0.16946083307266235
2;0.3492642045021057;0.02649771235883236;0.9228808283805847;0.162781223654747;0.280269056558609;0.02855498343706131;0.8054755330085754;0.16898216307163239
3;0.3855641186237335;0.025549784302711487;0.9631919264793396;0.15984296798706055;0.2654148042201996;0.02858654223382473;0.783510148525238;0.16907553374767303
4;0.40868955850601196;0.024925701320171356;0.9795545935630798;0.15787877142429352;0.27242153882980347;0.02848498523235321;0.8034912943840027;0.16877497732639313
5;0.425508052110672;0.024504519999027252;0.9888848662376404;0.1565391719341278;0.2584080696105957;0.028356900438666344;0.7950546741485596;0.1683950573205948
6;0.4324457049369812;0.024154139682650566;0.9910665154457092;0.15541599690914154;0.275504469871521;0.028352510184049606;0.8121519088745117;0.16838201880455017
7;0.4370707869529724;0.023877160623669624;0.9931373596191406;0.15452240407466888;0.2752242088317871;0.028299754485487938;0.8085480332374573;0.16822533309459686
8;0.4402943253517151;0.023644831031560898;0.9955357313156128;0.15376873314380646;0.28615471720695496;0.02826455608010292;0.8156533241271973;0.16812066733837128
9;0.44519972801208496;0.023450301960110664;0.9969891309738159;0.15313492715358734;0.25056055188179016;0.028203167021274567;0.8100946545600891;0.1679379940032959
10;0.44611072540283203;0.023295531049370766;0.9954478144645691;0.15262874960899353;0.2805493175983429;0.02822888456285;0.7964869737625122;0.1680145412683487
11;0.44625088572502136;0.02317119762301445;0.9961436986923218;0.15222086012363434;0.27438339591026306;0.02823011204600334;0.8112509250640869;0.1680181920528412
12;0.4480728805065155;0.02305697090923786;0.9959594011306763;0.15184518694877625;0.26765695214271545;0.028195826336741447;0.7842884659767151;0.16791611909866333
13;0.4461807906627655;0.022963840514421463;0.9964267015457153;0.15153825283050537;0.2550448477268219;0.028248149901628494;0.8145788908004761;0.16807185113430023
14;0.448142945766449;0.022882739081978798;0.9969080090522766;0.15127043426036835;0.275504469871521;0.02824033424258232;0.7975121140480042;0.16804859042167664
15;0.4502452611923218;0.022814419120550156;0.9965453743934631;0.15104444324970245;0.2701793611049652;0.02816317416727543;0.8052594065666199;0.16781887412071228
16;0.4468114972114563;0.022765232250094414;0.996747612953186;0.15088149905204773;0.25056055188179016;0.028187384828925133;0.7947838306427002;0.16789096593856812
17;0.4484933316707611;0.02271486632525921;0.9966071844100952;0.15071456134319305;0.2603699564933777;0.028293577954173088;0.7980980277061462;0.16820694506168365
18;0.4521373510360718;0.022668329998850822;0.9969223737716675;0.15056008100509644;0.2466367781162262;0.028241954743862152;0.8035581707954407;0.16805338859558105
19;0.44982481002807617;0.022625233978033066;0.9964554905891418;0.15041686594486237;0.2614910304546356;0.028255272656679153;0.8038277626037598;0.16809304058551788
20;0.44947442412376404;0.022599516436457634;0.9964341521263123;0.15033133327960968;0.27242153882980347;0.028230026364326477;0.795933187007904;0.1680179089307785
21;0.4468114972114563;0.022579245269298553;0.9973018765449524;0.15026389062404633;0.27102017402648926;0.028266066685318947;0.8199999928474426;0.16812516748905182
22;0.4435879588127136;0.02255907468497753;0.9963898658752441;0.15019679069519043;0.27242153882980347;0.028291529044508934;0.798663318157196;0.16820083558559418
23;0.4425368010997772;0.02253989316523075;0.996269941329956;0.1501329392194748;0.25588566064834595;0.028241582214832306;0.7907692193984985;0.1680523157119751
24;0.4434477984905243;0.02251463383436203;0.9973717331886292;0.15004877746105194;0.2432735413312912;0.028259245678782463;0.7862069010734558;0.168104887008667
25;0.4421864151954651;0.022497473284602165;0.997255265712738;0.14999154210090637;0.24383407831192017;0.028279777616262436;0.7981497049331665;0.168165922164917
26;0.44863349199295044;0.022473057731986046;0.9971224665641785;0.14991018176078796;0.2550448477268219;0.028335677459836006;0.8149146437644958;0.1683320254087448
27;0.44232654571533203;0.02245350368320942;0.9965329766273499;0.1498449146747589;0.25784754753112793;0.028281841427087784;0.8179323077201843;0.16817207634449005
28;0.44989487528800964;0.022429225966334343;0.9967554807662964;0.14976392686367035;0.2805493175983429;0.02823694422841072;0.8149078488349915;0.1680385023355484
29;0.43335670232772827;0.022407513111829758;0.9984890818595886;0.14969134330749512;0.2701793611049652;0.02831675484776497;0.8160073757171631;0.1682758331298828
30;0.4406447112560272;0.022394385188817978;0.9968575239181519;0.14964760839939117;0.27942824363708496;0.02831847220659256;0.7996530532836914;0.1682809293270111
31;0.4419060945510864;0.022383861243724823;0.9981187582015991;0.1496124118566513;0.2598094046115875;0.0283502209931612;0.8083097338676453;0.16837525367736816
32;0.44625088572502136;0.022368628531694412;0.9964821934700012;0.14956142008304596;0.23934978246688843;0.028313370421528816;0.785172700881958;0.16826574504375458
33;0.43931323289871216;0.022354520857334137;0.9968186616897583;0.14951427280902863;0.2769058346748352;0.028282776474952698;0.7970383167266846;0.1681748628616333
34;0.43994393944740295;0.022345134988427162;0.9960960745811462;0.14948295056819916;0.25756725668907166;0.028363864868879318;0.8070501089096069;0.16841572523117065
35;0.43552908301353455;0.022338449954986572;0.9969139695167542;0.1494605392217636;0.25392377376556396;0.0283046867698431;0.7976298928260803;0.16823993623256683
36;0.4356692433357239;0.02232953906059265;0.9968969821929932;0.1494307518005371;0.2415919303894043;0.028338216245174408;0.8080708384513855;0.1683395951986313
37;0.4318850636482239;0.022309601306915283;0.9966555237770081;0.14936399459838867;0.24943946301937103;0.028326602652668953;0.7830101847648621;0.16830509901046753
38;0.4396636188030243;0.022298460826277733;0.9968671202659607;0.14932672679424286;0.26737669110298157;0.028289470821619034;0.7958782911300659;0.1681947261095047
